
  Variables:
    x : Size=3216, Index=x_index, Domain=NonNegativeReals
        Key                     : Lower : Value : Upper : Fixed : Stale
               ('Benji', 'F45') :     0 :   4.0 :  None : False : False
               ('Benji', 'F46') :     0 :   4.0 :  None : False : False
               ('Benji', 'F51') :     0 :   0.0 :  None : False : False
               ('Benji', 'F52') :     0 :   0.0 :  None : False : False
               ('Benji', 'F53') :     0 :   0.0 :  None : False : False
               ('Benji', 'F54') :     0 :   0.0 :  None : False : False
               ('Benji', 'F55') :     0 :   0.0 :  None : False : False
               ('Benji', 'F56') :     0 :   0.0 :  None : False : False
               ('Benji', 'F61') :     0 :   0.0 :  None : False : False
               ('Benji', 'F62') :     0 :   0.0 :  None : False : False
               ('Benji', 'F63') :     0 :   0.0 :  None : False : False
               ('Benji', 'F64') :     0 :   0.0 :  None : False : False
               ('Benji', 'F65') :     0 :   0.0 :  None : False : False
               ('Benji', 'F66') :     0 :   0.0 :  None : False : False
               ('Benji', 'F71') :     0 :   0.0 :  None : False : False
               ('Benji', 'F72') :     0 :   0.0 :  None : False : False
               ('Benji', 'F73') :     0 :   0.0 :  None : False : False
               ('Benji', 'F74') :     0 :   0.0 :  None : False : False
               ('Benji', 'F75') :     0 :   0.0 :  None : False : False
               ('Benji', 'F76') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A11') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A12') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A13') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A14') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A21') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A22') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A23') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A24') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A31') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A32') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A33') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A34') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A41') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A42') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A43') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A44') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A51') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A52') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A53') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A54') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A61') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A62') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A63') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A64') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A71') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A72') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A73') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'A74') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'B11') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'B12') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'B13') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'B14') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'B15') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'B16') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'B21') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'B22') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'B23') :     0 :   0.0 :  None : False : False
